city,lat,lng
Komsomolets,53.7506,62.0502
Baykonur,45.6914,63.2413
Erymentau,51.6303,73.1049
Qarazhal,48.0253,70.7999
Tobol,52.698,62.5749
Shar,49.6003,81.0549
Semey,50.435,80.275
Boralday,43.3341,76.8288
Zhetiqara,52.193,61.2399
Aqadyr,48.2749,72.8599
Zharkent,44.1616,79.9801
Qulsary,46.9833,54.0165
Balyqshy,47.0666,51.8666
Atyrau,47.1127,51.92
Shymkent,42.32,69.595
Turkistan,43.3016,68.2549
Xiangkhoang,19.3337,103.3666
Muang Phonsavan,19.45,103.2167
Vientiane,17.9667,102.6
Ban Houayxay,20.2775,100.4128
Muang Phon-Hong,18.4957,102.4142
Louang Namtha,20.95,101.4167
Phongsali,21.6833,102.1
Thakhek,17.4112,104.8361
Muang Pakxan,18.3826,103.6586
Louangphrabang,19.8845,102.1416
Xaignabouri,19.2505,101.7501
Savannakhet,16.5376,104.773
Lamam,15.4171,106.6946
Pakxe,15.1221,105.8183
Attapu,14.808,106.839
Xam Nua,20.4167,104.0333
Muang Xai,20.6923,101.9847
Saravan,15.716,106.427
Champasak,14.8833,105.8667
Beirut,33.872,35.5097
Zahle,33.8501,35.9042
Baalbek,34.0058,36.2181
Babda,33.8333,35.5333
Halba,34.5428,36.0797
Saida,33.563,35.3688
Nabatiye et Tahta,33.3833,35.45
Trablous,34.42,35.87
Castries,14.002,-61
Gamprin,47.2197,9.5113
Triesenberg,47.1182,9.5444
Schaan,47.1661,9.5096
Ruggell,47.2408,9.5247
Mauren,47.2205,9.5426
Eschen,47.2109,9.5216
Triesen,47.1101,9.524
Balzers,47.0667,9.5025
Vaduz,47.1337,9.5167
Planken,47.1844,9.5436
Schellenberg,47.2325,9.5463
Colombo,6.932,79.8578
Ratnapura,6.693,80.386
Matara,5.949,80.5428
Sri Jawewardenepura Kotte,6.9,79.95
Moratuwa,6.7804,79.88
Anuradhapura,8.35,80.3833
Galle,6.03,80.24
Puttalan,8.033,79.826
Kandy,7.28,80.67
Badulla,6.9837,81.0499
Trincomalee,8.569,81.233
Kilinochchi,9.4004,80.3999
Batticaloa,7.717,81.7
Jaffna,9.675,80.005
Bopolu,7.0667,-10.4875
Voinjama,8.4167,-9.75
Robertsport,6.7533,-11.3686
Buchanan,5.9161,-10.0525
Monrovia,6.3106,-10.8048
Tubmanburg,6.8706,-10.8211
Buchanan,5.8811,-10.0447
Zwedru,6.0704,-8.13
Barclayville,4.8,-8.1667
Rivercess,5.465,-9.578
Fish Town,5.1974,-7.8758
Gbarnga,7.0104,-9.49
Kakata,6.526,-10.349
Sanniquellie,7.371,-8.685
Greenville,5.0111,-9.0388
Bensonville,6.4333,-10.6
Harper,4.3754,-7.717
Maseru,-29.3167,27.4833
Mokhotlong,-29.291,29.078
Thaba-Tseka,-29.522,28.6084
Moyeni,-30.411,27.716
Qachas Nek,-30.1154,28.6894
Mafetang,-29.8166,27.25
Hlotse,-28.878,28.056
Teyateyaneng,-29.153,27.753
Mohales Hoek,-30.159,27.48
Butha-Buthe,-28.75,28.25
Klaipeda,55.7204,21.1199
Palanga,55.9203,21.071
Nida,55.3086,20.9965
Kretinga,55.8888,21.2445
Taurage,55.2522,22.2897
Silute,55.3453,21.4733
Rietavas,55.7271,21.9234
Plunge,55.9077,21.8456
Silale,55.4898,22.1869
Visaginas,55.5968,26.4398
Zarasai,55.7322,26.2512
Ignalina,55.3406,26.1605
Utena,55.4976,25.5992
Svencionys,55.133,26.1595
Rokiskis,55.9587,25.5947
Moletai,55.2247,25.4169
Salcininkai,54.3086,25.3868
Vilnius,54.6834,25.3166
Kupiskis,55.8401,24.9803
Trakai,54.6399,24.936
Birzai,56.1986,24.7521
Anyksciai,55.5246,25.1066
Telsiai,55.9831,22.2343
Kelme,55.6301,22.9349
Marijampole,54.5599,23.3541
Lazdijai,54.2333,23.5147
Sakiai,54.9534,23.0478
Radviliskis,55.8111,23.5411
Siauliai,55.9386,23.325
Birstonas,54.6048,24.0311
Druskininkai,54.0157,23.987
Kedainiai,55.2878,23.9727
Alytus,54.3964,24.0414
Prienai,54.636,23.9458
Elektrenai,54.7863,24.6626
Kaunas,54.9504,23.88
Jonava,55.0801,24.2754
Kaisiadorys,54.8653,24.4682
Panevezys,55.74,24.37
Joniskis,56.2394,23.6154
Kazlu Ruda,54.7497,23.495
Vilkaviskis,54.648,23.0305
Pasvalys,56.0625,24.3997
Pakruojis,55.9789,23.8551
Raseiniai,55.3797,23.1239
Pagegiai,55.1379,21.9138
Jurbarkas,55.0756,22.7642
Kalvarija,54.4172,23.2283
Sirvintos,55.044,24.9545
Skuodas,56.2706,21.5321
Mazeikiai,56.3122,22.3265
Akmene,56.25,22.75
Ukmerge,55.2494,24.7636
Varena,54.2155,24.5754
Capellen,49.645,5.9908
Esch-sur-Alzette,49.4958,5.9806
Remich,49.545,6.3669
Echternach,49.8056,6.4222
Mersch,49.7489,6.1061
Redange-sur-Attert,49.7656,5.8908
Vianden,49.935,6.2089
Wiltz,49.9689,5.9319
Clervaux,50.0547,6.0314
Diekirch,49.8833,6.1667
